RAW Data Report
Branch:TST(HHT)
Start datetime:2020-09-01T17:15:25
End datetime:2020-09-06T17:15:25
Counter Type:ALL
Ticket,Type,No.,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
DA176,DA,176,HHT,c,1,2020-09-01 17:16:05,1371590,2020-09-01 17:17:22,1371590,2020-09-01 17:17:32,1371590,2020-09-01 17:17:32,1371590,None,None,None,None,77,10,0,87
DA177,DA,177,HHT,c,1,2020-09-01 17:16:15,1498468,2020-09-01 17:18:11,1498468,2020-09-01 17:18:17,1498468,2020-09-01 17:22:01,1498468,None,None,None,None,116,6,224,346
DA178,DA,178,HHT,c,1,2020-09-01 17:19:42,1456755,2020-09-01 17:19:48,1456755,None,1456755,None,1456755,None,None,None,None,6,None,None,None
DA179,DA,179,HHT,c,1,2020-09-01 17:19:52,1371590,2020-09-01 17:20:04,1371590,2020-09-01 17:21:25,1371590,2020-09-01 17:21:26,1371590,None,None,None,None,12,81,1,94
AA040,AA,040,HHT,c,1,2020-09-01 17:27:39,1461565,2020-09-01 17:27:49,1461565,2020-09-01 17:28:05,1461565,2020-09-01 17:43:20,1461565,None,None,None,None,10,16,915,941
DA180,DA,180,HHT,c,1,2020-09-01 17:35:15,1498468,2020-09-01 17:35:16,1498468,2020-09-01 17:35:22,1498468,2020-09-01 17:45:38,1498468,None,None,None,None,1,6,616,623
DA181,DA,181,HHT,c,1,2020-09-01 17:37:56,1371590,2020-09-01 17:38:11,1371590,2020-09-01 17:38:21,1371590,2020-09-01 17:38:21,1371590,None,None,None,None,15,10,0,25
DA182,DA,182,HHT,c,1,2020-09-01 17:39:05,1456755,2020-09-01 17:39:12,1456755,2020-09-01 17:52:32,1456755,2020-09-01 17:52:32,1456755,None,None,None,None,7,800,0,807
DA183,DA,183,HHT,c,1,2020-09-01 17:40:03,1466655,2020-09-01 17:40:04,1466655,2020-09-01 17:40:16,1466655,2020-09-01 17:53:25,1466655,None,None,None,None,1,12,789,802
DA185,DA,185,HHT,c,1,2020-09-01 17:45:09,1461565,2020-09-01 17:45:10,1461565,2020-09-01 17:45:38,1461565,2020-09-01 17:48:25,1461565,None,None,None,None,1,28,167,196
DA186,DA,186,HHT,c,1,2020-09-01 17:48:09,1498468,2020-09-01 17:48:09,1498468,2020-09-01 17:48:14,1498468,2020-09-01 17:51:14,1498468,None,None,None,None,0,5,180,185
DA187,DA,187,HHT,c,1,2020-09-01 17:50:14,1371590,2020-09-01 17:50:14,1371590,2020-09-01 17:50:20,1371590,2020-09-01 17:50:21,1371590,None,None,None,None,0,6,1,7
DA188,DA,188,HHT,c,1,2020-09-01 17:53:16,1498468,2020-09-01 17:53:16,1498468,2020-09-01 17:53:30,1498468,2020-09-01 17:53:30,1498468,None,None,None,None,0,14,0,14
AB006,AB,006,HHT,c,1,2020-09-01 17:54:45,1466655,2020-09-01 17:54:46,1466655,2020-09-01 17:55:14,1466655,2020-09-01 18:04:03,1466655,None,None,None,None,1,28,529,558
DA189,DA,189,HHT,c,1,2020-09-01 17:55:56,1371590,2020-09-01 17:55:57,1371590,2020-09-01 17:56:17,1371590,2020-09-01 17:56:17,1371590,None,None,None,None,1,20,0,21
DB018,DB,018,HHT,c,1,2020-09-01 18:02:25,1498468,2020-09-01 18:02:25,1498468,2020-09-01 18:02:42,1498468,2020-09-01 18:09:55,1498468,None,None,None,None,0,17,433,450
DA191,DA,191,HHT,c,1,2020-09-01 18:05:27,1456755,2020-09-01 18:05:27,1456755,2020-09-01 18:08:48,1456755,2020-09-01 18:08:49,1456755,None,None,None,None,0,201,1,202
DB019,DB,019,HHT,c,1,2020-09-01 18:09:48,1371590,2020-09-01 18:09:49,1371590,2020-09-01 18:09:56,1371590,2020-09-01 18:09:58,1371590,None,None,None,None,1,7,2,10
DA192,DA,192,HHT,c,1,2020-09-01 18:09:55,1456755,2020-09-01 18:09:55,1456755,None,1456755,None,1456755,None,None,None,None,0,None,None,None
DA193,DA,193,HHT,c,1,2020-09-01 18:10:02,1498468,2020-09-01 18:10:03,1498468,2020-09-01 18:10:10,1498468,2020-09-01 18:10:11,1498468,None,None,None,None,1,7,1,9
DA194,DA,194,HHT,c,1,2020-09-01 18:12:04,1466655,2020-09-01 18:12:05,1466655,2020-09-01 18:12:19,1466655,2020-09-01 18:32:17,1466655,None,None,None,None,1,14,1198,1213
DA195,DA,195,HHT,c,1,2020-09-01 18:12:15,1456755,2020-09-01 18:12:29,1456755,2020-09-01 18:12:36,1456755,2020-09-01 18:12:37,1456755,None,None,None,None,14,7,1,22
DA196,DA,196,HHT,c,1,2020-09-01 18:16:21,1371590,2020-09-01 18:16:21,1371590,2020-09-01 18:16:26,1371590,2020-09-01 18:16:26,1371590,None,None,None,None,0,5,0,5
DA197,DA,197,HHT,c,1,2020-09-01 18:16:59,1498468,2020-09-01 18:16:59,1498468,2020-09-01 18:17:05,1498468,2020-09-01 18:17:06,1498468,None,None,None,None,0,6,1,7
DA198,DA,198,HHT,c,1,2020-09-01 18:17:53,1461565,2020-09-01 18:17:55,1461565,2020-09-01 18:18:49,1461565,2020-09-01 18:21:30,1461565,None,None,None,None,2,54,161,217
DA199,DA,199,HHT,c,1,2020-09-01 18:21:21,1461565,2020-09-01 18:21:30,1461565,2020-09-01 18:21:36,1461565,2020-09-01 18:25:53,1461565,None,None,None,None,9,6,257,272
