RAW Data Report
Branch:TST(HHT)
Start datetime:2020-09-01T12:04:26
End datetime:2020-09-05T12:04:26
Counter Type:ALL
Ticket,Type,No.,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
DA037,DA,037,HHT,c,1,2020-09-01 12:07:27,1466655,2020-09-01 12:07:47,1466655,2020-09-01 12:07:53,1466655,2020-09-01 12:09:43,1466655,None,None,None,None,20,6,110,136
DB007,DB,007,HHT,c,1,2020-09-01 12:08:42,1466655,2020-09-01 12:09:44,1466655,2020-09-01 12:09:48,1466655,2020-09-01 12:11:58,1466655,None,None,None,None,62,4,130,196
BA004,BA,004,HHT,c,1,2020-09-01 12:10:35,BA001,2020-09-01 12:10:35,BA001,2020-09-01 12:10:52,BA001,2020-09-01 12:16:12,BA001,None,None,None,None,0,17,320,337
DA038,DA,038,HHT,c,1,2020-09-01 12:10:47,1461565,2020-09-01 12:10:59,1461565,2020-09-01 12:11:21,1461565,2020-09-01 12:13:19,1461565,None,None,None,None,12,22,118,152
AA017,AA,017,HHT,c,1,2020-09-01 12:11:19,1466655,2020-09-01 12:11:58,1466655,2020-09-01 12:12:14,1466655,2020-09-01 12:17:28,1466655,None,None,None,None,39,16,314,369
DA040,DA,040,HHT,c,1,2020-09-01 12:11:59,1461565,2020-09-01 12:13:19,1461565,2020-09-01 12:13:37,1461565,2020-09-01 12:17:04,1461565,None,None,None,None,80,18,207,305
DA041,DA,041,HHT,c,1,2020-09-01 12:12:02,1461565,2020-09-01 12:17:04,1461565,2020-09-01 12:18:49,1461565,2020-09-01 12:29:08,1461565,None,None,None,None,302,105,619,1026
AA018,AA,018,HHT,c,1,2020-09-01 12:15:03,1466655,2020-09-01 12:17:28,1466655,2020-09-01 12:17:30,1466655,2020-09-01 12:20:07,1466655,None,None,None,None,145,2,157,304
DA043,DA,043,HHT,c,1,2020-09-01 12:17:59,1466655,2020-09-01 12:20:07,1466655,2020-09-01 12:20:10,1466655,2020-09-01 12:31:57,1466655,None,None,None,None,128,3,707,838
DB008,DB,008,HHT,c,1,2020-09-01 12:28:54,1461565,2020-09-01 12:29:08,1461565,2020-09-01 12:29:20,1461565,2020-09-01 12:48:20,1461565,None,None,None,None,14,12,1140,1166
DA044,DA,044,HHT,c,1,2020-09-01 12:31:11,1466655,2020-09-01 12:31:57,1466655,2020-09-01 12:32:14,1466655,2020-09-01 12:35:01,1466655,None,None,None,None,46,17,167,230
DA045,DA,045,HHT,c,1,2020-09-01 12:31:59,1466655,2020-09-01 12:35:01,1466655,2020-09-01 12:35:35,1466655,2020-09-01 12:37:51,1466655,None,None,None,None,182,34,136,352
DA046,DA,046,HHT,c,1,2020-09-01 12:36:22,1466655,2020-09-01 12:37:51,1466655,2020-09-01 12:38:12,1466655,2020-09-01 12:41:13,1466655,None,None,None,None,89,21,181,291
DA047,DA,047,HHT,c,1,2020-09-01 12:37:42,1456755,2020-09-01 12:37:55,1456755,2020-09-01 12:47:54,1456755,2020-09-01 12:47:54,1456755,None,None,None,None,13,599,0,612
DA048,DA,048,HHT,c,1,2020-09-01 12:37:47,1371590,2020-09-01 12:38:27,1371590,2020-09-01 12:38:37,1371590,2020-09-01 12:38:38,1371590,None,None,None,None,40,10,1,51
DA049,DA,049,HHT,c,1,2020-09-01 12:40:55,1466655,2020-09-01 12:41:13,1466655,2020-09-01 12:41:27,1466655,2020-09-01 12:52:00,1466655,None,None,None,None,18,14,633,665
DA050,DA,050,HHT,c,1,2020-09-01 12:48:09,1461565,2020-09-01 12:48:20,1461565,2020-09-01 12:48:28,1461565,2020-09-01 12:50:35,1461565,None,None,None,None,11,8,127,146
DA051,DA,051,HHT,c,1,2020-09-01 12:49:44,1461565,2020-09-01 12:50:36,1461565,2020-09-01 12:50:39,1461565,2020-09-01 12:53:29,1461565,None,None,None,None,52,3,170,225
AA019,AA,019,HHT,c,1,2020-09-01 12:51:04,1466655,2020-09-01 12:52:01,1466655,2020-09-01 13:10:33,1466655,2020-09-01 13:27:06,1466655,None,None,None,None,57,1112,993,2162
DA052,DA,052,HHT,c,1,2020-09-01 12:52:47,1371590,2020-09-01 12:52:58,1371590,2020-09-01 12:53:03,1371590,2020-09-01 12:53:04,1371590,None,None,None,None,11,5,1,17
DA053,DA,053,HHT,c,1,2020-09-01 12:53:56,1461565,2020-09-01 12:53:56,1461565,2020-09-01 12:54:14,1461565,2020-09-01 12:57:34,1461565,None,None,None,None,0,18,200,218
DA054,DA,054,HHT,c,1,2020-09-01 12:55:21,1371590,2020-09-01 12:55:47,1371590,2020-09-01 12:55:54,1371590,2020-09-01 12:55:54,1371590,None,None,None,None,26,7,0,33
DA055,DA,055,HHT,c,1,2020-09-01 12:58:49,1461565,2020-09-01 12:58:49,1461565,2020-09-01 12:59:08,1461565,2020-09-01 13:02:05,1461565,None,None,None,None,0,19,177,196
DA056,DA,056,HHT,c,1,2020-09-01 13:01:50,1461565,2020-09-01 13:02:06,1461565,2020-09-01 13:02:11,1461565,2020-09-01 13:06:03,1461565,None,None,None,None,16,5,232,253
DA057,DA,057,HHT,c,1,2020-09-01 13:07:51,1461565,2020-09-01 13:07:51,1461565,2020-09-01 13:07:59,1461565,2020-09-01 13:10:02,1461565,None,None,None,None,0,8,123,131
AA020,AA,020,HHT,c,1,2020-09-01 13:09:28,1461565,2020-09-01 13:10:03,1461565,2020-09-01 13:10:37,1461565,2020-09-01 13:17:57,1461565,None,None,None,None,35,34,440,509
DA058,DA,058,HHT,c,1,2020-09-01 13:11:56,1456755,2020-09-01 13:12:19,1456755,None,1456755,None,1456755,None,None,None,None,23,None,None,None
AA021,AA,021,HHT,c,1,2020-09-01 13:13:03,1328368,2020-09-01 13:14:19,1328368,2020-09-01 13:14:46,1328368,2020-09-01 13:24:21,1328368,None,None,None,None,76,27,575,678
DA060,DA,060,HHT,c,1,2020-09-01 13:14:45,1371590,2020-09-01 13:14:55,1371590,2020-09-01 13:15:01,1371590,2020-09-01 13:15:02,1371590,None,None,None,None,10,6,1,17
DA061,DA,061,HHT,c,1,2020-09-01 13:15:21,1456755,2020-09-01 13:17:17,1456755,2020-09-01 13:19:49,1456755,2020-09-01 13:19:53,1456755,None,None,None,None,116,152,4,272
DA062,DA,062,HHT,c,1,2020-09-01 13:15:31,1371590,2020-09-01 13:17:18,1371590,2020-09-01 13:17:32,1371590,2020-09-01 13:17:32,1371590,None,None,None,None,107,14,0,121
DA063,DA,063,HHT,c,1,2020-09-01 13:15:44,1461565,2020-09-01 13:17:57,1461565,2020-09-01 13:19:29,1461565,2020-09-01 13:22:14,1461565,None,None,None,None,133,92,165,390
DA065,DA,065,HHT,c,1,2020-09-01 13:16:38,1456755,2020-09-01 13:19:57,1456755,None,1456755,None,1456755,None,None,None,None,199,None,None,None
DA066,DA,066,HHT,c,1,2020-09-01 13:20:13,1461565,2020-09-01 13:22:14,1461565,2020-09-01 13:22:38,1461565,2020-09-01 13:25:38,1461565,None,None,None,None,121,24,180,325
DA067,DA,067,HHT,c,1,2020-09-01 13:23:29,1328368,2020-09-01 13:24:21,1328368,2020-09-01 13:24:38,1328368,2020-09-01 13:30:01,1328368,None,None,None,None,52,17,323,392
DA068,DA,068,HHT,c,1,2020-09-01 13:23:54,1456755,2020-09-01 13:25:37,1456755,2020-09-01 13:27:18,1456755,2020-09-01 15:02:24,1456755,None,None,None,None,103,101,5706,5910
AA022,AA,022,HHT,c,1,2020-09-01 13:25:02,1461565,2020-09-01 13:25:38,1461565,2020-09-01 13:25:54,1461565,2020-09-01 13:49:25,1461565,None,None,None,None,36,16,1411,1463
DA069,DA,069,HHT,c,1,2020-09-01 13:29:02,1466655,2020-09-01 13:29:02,1466655,2020-09-01 13:31:01,1466655,2020-09-01 13:32:47,1466655,None,None,None,None,0,119,106,225
DA070,DA,070,HHT,c,1,2020-09-01 13:29:39,1371590,2020-09-01 13:29:54,1371590,2020-09-01 13:29:58,1371590,2020-09-01 13:29:58,1371590,None,None,None,None,15,4,0,19
DA071,DA,071,HHT,c,1,2020-09-01 13:29:48,1328368,2020-09-01 13:30:01,1328368,2020-09-01 13:30:12,1328368,2020-09-01 13:36:10,1328368,None,None,None,None,13,11,358,382
DA072,DA,072,HHT,c,1,2020-09-01 13:32:08,1466655,2020-09-01 13:32:47,1466655,2020-09-01 13:32:57,1466655,2020-09-01 14:04:26,1466655,None,None,None,None,39,10,1889,1938
DA073,DA,073,HHT,c,1,2020-09-01 13:37:12,1328368,2020-09-01 13:37:12,1328368,2020-09-01 13:37:27,1328368,2020-09-01 13:48:57,1328368,None,None,None,None,0,15,690,705
DA074,DA,074,HHT,c,1,2020-09-01 13:40:21,1498468,2020-09-01 13:40:21,1498468,2020-09-01 13:40:33,1498468,2020-09-01 13:40:33,1498468,None,None,None,None,0,12,0,12
DA076,DA,076,HHT,c,1,2020-09-01 13:45:25,1498468,2020-09-01 13:45:25,1498468,2020-09-01 13:45:41,1498468,2020-09-01 13:45:41,1498468,None,None,None,None,0,16,0,16
DA078,DA,078,HHT,c,1,2020-09-01 13:46:13,1498468,2020-09-01 13:48:26,1498468,2020-09-01 13:48:28,1498468,2020-09-01 13:48:29,1498468,None,None,None,None,133,2,1,136
DA079,DA,079,HHT,c,1,2020-09-01 13:46:21,1328368,2020-09-01 13:48:57,1328368,2020-09-01 13:49:12,1328368,2020-09-01 14:08:40,1328368,None,None,None,None,156,15,1168,1339
DA080,DA,080,HHT,c,1,2020-09-01 13:47:03,1461565,2020-09-01 13:49:25,1461565,2020-09-01 13:49:53,1461565,2020-09-01 13:57:22,1461565,None,None,None,None,142,28,449,619
