Ticket,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
DA192,HHT,c,1,2020-05-09 16:09:53,1371590,2020-05-09 16:09:53,1371590,2020-05-09 16:10:07,1371590,2020-05-09 16:10:08,1371590,None,None,None,None,0,14,1,15
DA193,HHT,c,1,2020-05-09 16:14:31,1498468,2020-05-09 16:14:38,1498468,2020-05-09 16:14:46,1498468,2020-05-09 16:22:40,1498468,None,None,None,None,7,8,474,489
DA195,HHT,c,1,2020-05-09 16:18:55,1371590,2020-05-09 16:18:55,1371590,2020-05-09 16:19:08,1371590,2020-05-09 16:19:09,1371590,None,None,None,None,0,13,1,14
DA196,HHT,c,1,2020-05-09 16:26:29,1498468,2020-05-09 16:26:29,1498468,2020-05-09 16:26:40,1498468,2020-05-09 16:30:39,1498468,None,None,None,None,0,11,239,250
DA197,HHT,c,1,2020-05-09 16:26:39,1456755,2020-05-09 16:26:45,1456755,2020-05-09 16:29:50,1456755,2020-05-09 16:29:51,1456755,None,None,None,None,6,185,1,192
DA198,HHT,c,1,2020-05-09 16:28:05,1371590,2020-05-09 16:28:05,1371590,2020-05-09 16:28:11,1371590,2020-05-09 16:28:12,1371590,None,None,None,None,0,6,1,7
DA199,HHT,c,1,2020-05-09 16:28:20,1456755,2020-05-09 16:29:51,1456755,2020-05-09 16:43:03,1456755,2020-05-09 16:43:08,1456755,None,None,None,None,91,792,5,888
DA200,HHT,c,1,2020-05-09 16:30:11,1371590,2020-05-09 16:31:23,1371590,2020-05-09 16:31:40,1371590,2020-05-09 16:31:41,1371590,None,None,None,None,72,17,1,90
DA201,HHT,c,1,2020-05-09 16:31:43,1498468,2020-05-09 16:33:05,1498468,2020-05-09 16:33:16,1498468,2020-05-09 16:35:04,1498468,None,None,None,None,82,11,108,201
DA202,HHT,c,1,2020-05-09 16:31:55,1498468,2020-05-09 16:35:05,1498468,2020-05-09 16:35:33,1498468,2020-05-09 16:38:15,1498468,None,None,None,None,190,28,162,380
