RAW Data Report
Branch:Kowloon Bay Centre(KB)
Start datetime:2024-01-01T00:00
End datetime:2024-07-01T00:00
Counter Type:ALL
Ticket,Type,No.,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
A024,A,024,KB,c,1,2024-06-14 17:43:39,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A025,A,025,KB,c,1,2024-06-14 17:43:45,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
B005,B,005,KB,c,1,2024-06-14 17:44:00,tim,None,None,None,None,None,None,None,None,None,None,None,None,None,None
B006,B,006,KB,c,1,2024-06-14 17:44:04,tim,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A026,A,026,KB,c,1,2024-06-14 17:45:10,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A027,A,027,KB,c,1,2024-06-14 17:45:13,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
B007,B,007,KB,c,1,2024-06-14 17:47:36,tim,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A028,A,028,KB,c,1,2024-06-14 17:47:42,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A001,A,001,KB,c,1,2024-06-16 16:56:31,userapi,2024-06-18 12:01:17,elton,None,None,None,None,2024-06-18 12:12:25,elton,None,None,155086,667,None,None
B001,B,001,KB,c,1,2024-06-16 17:07:23,tim,2024-06-18 11:48:03,elton,None,None,None,None,2024-06-18 11:49:12,elton,None,None,153640,68,None,None
B002,B,002,KB,c,1,2024-06-16 17:07:25,tim,2024-06-17 17:47:01,tim,2024-06-17 18:09:00,tim,2024-06-17 18:09:03,tim,None,None,None,None,88776,1318,1321,91415
B003,B,003,KB,c,1,2024-06-16 17:07:27,tim,2024-06-17 19:04:46,tim,None,None,None,None,2024-06-18 14:07:39,tim,None,None,93439,68572,None,None
A002,A,002,KB,c,1,2024-06-16 19:40:58,userapi,2024-06-18 12:21:10,elton,None,None,None,None,2024-06-18 12:21:40,elton,None,None,146412,30,None,None
A003,A,003,KB,c,1,2024-06-16 19:41:00,userapi,2024-06-18 12:17:17,elton,None,None,None,None,2024-06-18 12:20:59,elton,None,None,146176,222,None,None
