RAW Data Report
Branch:Kowloon Bay Center(KB)
Start datetime:2024-04-01T15:56:09
End datetime:2024-04-12T15:56:09
Counter Type:ALL
Ticket,Type,No.,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
A005,A,005,KB,Reception,1,2024-04-02 15:46:40,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:15,elton,515,None,None,None
A006,A,006,KB,Reception,1,2024-04-02 15:46:43,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:18,elton,514,None,None,None
B001,B,001,KB,Reception,1,2024-04-02 15:48:01,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:22,elton,440,None,None,None
B002,B,002,KB,Reception,1,2024-04-02 15:48:05,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:24,elton,439,None,None,None
B003,B,003,KB,Reception,1,2024-04-02 15:49:16,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:25,elton,369,None,None,None
C002,C,002,KB,Reception,1,2024-04-02 15:49:18,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:27,elton,369,None,None,None
A007,A,007,KB,Reception,1,2024-04-02 15:49:30,userapi,None,None,None,None,None,None,None,None,2024-04-02 15:55:29,elton,358,None,None,None
B004,B,004,KB,Reception,1,2024-04-02 15:49:38,userapi,2024-04-02 15:55:30,elton,None,None,None,None,2024-04-02 15:55:31,elton,None,None,351,1,None,None
C003,C,003,KB,Reception,1,2024-04-02 15:49:40,userapi,2024-04-02 15:55:33,elton,None,None,None,None,2024-04-02 15:55:34,elton,None,None,352,1,None,None
A008,A,008,KB,Reception,1,2024-04-02 16:29:58,userapi,2024-04-02 16:30:16,elton,None,None,None,None,2024-04-02 16:30:17,elton,None,None,17,1,None,None
C004,C,004,KB,Reception,1,2024-04-02 16:30:05,userapi,None,None,None,None,None,None,None,None,2024-04-02 16:30:20,elton,14,None,None,None
B005,B,005,KB,Reception,1,2024-04-02 16:30:09,userapi,2024-04-02 16:30:22,elton,None,None,None,None,2024-04-02 16:30:23,elton,None,None,12,1,None,None
E001,E,001,KB,Reception,1,2024-04-02 16:30:12,userapi,2024-04-02 16:30:27,elton,None,None,None,None,2024-04-02 16:30:29,elton,None,None,15,1,None,None
A009,A,009,KB,Reception,1,2024-04-02 16:40:26,userapi,2024-04-02 16:40:37,elton,None,None,None,None,2024-04-02 16:40:38,elton,None,None,11,1,None,None
B006,B,006,KB,Reception,1,2024-04-02 16:40:28,userapi,2024-04-02 16:40:42,elton,None,None,None,None,2024-04-02 16:40:43,elton,None,None,13,0,None,None
C005,C,005,KB,Reception,1,2024-04-02 16:40:32,userapi,None,None,None,None,None,None,None,None,2024-04-02 16:40:41,elton,8,None,None,None
D001,D,001,KB,Reception,1,2024-04-02 16:40:34,userapi,2024-04-02 16:40:44,elton,None,None,None,None,2024-04-02 16:40:45,elton,None,None,9,1,None,None
E002,E,002,KB,Reception,1,2024-04-02 16:40:36,userapi,2024-04-02 16:40:47,elton,2024-04-02 16:40:48,elton,2024-04-02 16:40:49,elton,None,None,None,None,10,1,2,13
E003,E,003,KB,Reception,1,2024-04-02 16:40:53,userapi,None,None,None,None,None,None,None,None,2024-04-02 16:40:56,elton,2,None,None,None
B007,B,007,KB,Reception,1,2024-04-02 17:31:17,userapi,2024-04-02 17:34:09,elton,None,None,None,None,2024-04-02 17:34:13,elton,None,None,171,3,None,None
A010,A,010,KB,Reception,1,2024-04-02 17:31:18,userapi,None,None,None,None,None,None,None,None,2024-04-02 17:34:16,elton,178,None,None,None
B008,B,008,KB,Reception,1,2024-04-02 17:31:24,userapi,None,None,None,None,None,None,None,None,2024-04-02 17:34:18,elton,174,None,None,None
F001,F,001,KB,Reception,1,2024-04-02 17:32:22,userapi,None,None,None,None,None,None,None,None,2024-04-02 17:34:20,elton,117,None,None,None
E004,E,004,KB,Reception,1,2024-04-02 17:32:24,userapi,None,None,None,None,None,None,None,None,2024-04-02 17:34:21,elton,117,None,None,None
D002,D,002,KB,Reception,1,2024-04-02 17:32:26,userapi,None,None,None,None,None,None,None,None,2024-04-02 17:34:23,elton,116,None,None,None
