




Ticket,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
EA002,SCP,c,1,2021-08-16 10:04:12,A0430114,2021-08-16 10:04:20,A0430114,2021-08-16 10:04:39,A0430114,2021-08-16 10:09:31,A0430114,None,None,None,None,8,19,292,319
AA003,SCP,c,1,2021-08-16 10:21:41,931881,2021-08-16 10:21:53,931881,2021-08-16 10:22:07,931881,2021-08-16 10:43:48,931881,None,None,None,None,12,14,1301,1327
EA006,SCP,c,1,2021-08-16 10:31:16,A0430114,2021-08-16 10:31:19,A0430114,2021-08-16 10:31:43,A0430114,2021-08-16 10:44:54,A0430114,None,None,None,None,3,24,791,818
AA007,SCP,c,1,2021-08-16 10:43:34,931881,2021-08-16 10:43:49,931881,2021-08-16 10:44:17,931881,2021-08-16 11:08:46,931881,None,None,None,None,15,28,1469,1512
EA007,SCP,c,1,2021-08-16 10:43:41,A0430114,2021-08-16 10:44:55,A0430114,2021-08-16 10:45:16,A0430114,2021-08-16 11:10:58,A0430114,None,None,None,None,74,21,1542,1637
AA012,SCP,c,1,2021-08-16 11:08:39,931881,2021-08-16 11:08:47,931881,2021-08-16 11:09:21,931881,2021-08-16 11:27:51,931881,None,None,None,None,8,34,1110,1152
EA010,SCP,c,1,2021-08-16 11:10:47,A0430114,2021-08-16 11:10:58,A0430114,2021-08-16 11:11:20,A0430114,2021-08-16 11:14:41,A0430114,None,None,None,None,11,22,201,234
EA011,SCP,c,1,2021-08-16 11:18:42,A0430114,2021-08-16 11:19:19,A0430114,2021-08-16 11:19:47,A0430114,2021-08-16 11:30:53,A0430114,None,None,None,None,37,28,666,731
AA015,SCP,c,1,2021-08-16 11:21:35,931881,2021-08-16 11:27:51,931881,2021-08-16 11:27:59,931881,2021-08-16 11:35:51,931881,None,None,None,None,376,8,472,856
AA016,SCP,c,1,2021-08-16 11:22:55,931881,2021-08-16 11:35:51,931881,2021-08-16 11:36:11,931881,2021-08-16 11:36:24,931881,None,None,None,None,776,20,13,809
AA018,SCP,c,1,2021-08-16 11:28:44,931881,2021-08-16 11:36:24,931881,2021-08-16 11:36:52,931881,2021-08-16 12:05:38,931881,None,None,None,None,460,28,1726,2214
EA014,SCP,c,1,2021-08-16 11:36:32,A0430114,2021-08-16 11:36:49,A0430114,None,A0430114,None,A0430114,None,None,None,None,17,None,None,None
EA017,SCP,c,1,2021-08-16 11:44:09,A0430114,2021-08-16 11:44:24,A0430114,2021-08-16 11:44:50,A0430114,2021-08-16 11:54:31,A0430114,None,None,None,None,15,26,581,622
EA020,SCP,c,1,2021-08-16 11:52:20,A0430114,2021-08-16 11:54:31,A0430114,2021-08-16 11:54:47,A0430114,2021-08-16 11:56:18,A0430114,None,None,None,None,131,16,91,238
EA021,SCP,c,1,2021-08-16 11:54:00,A0430114,2021-08-16 11:56:18,A0430114,2021-08-16 11:56:40,A0430114,2021-08-16 12:00:57,A0430114,None,None,None,None,138,22,257,417
AA025,SCP,c,1,2021-08-16 12:05:27,931881,2021-08-16 12:05:38,931881,2021-08-16 12:06:11,931881,2021-08-16 12:30:19,931881,None,None,None,None,11,33,1448,1492
EA022,SCP,c,1,2021-08-16 12:17:37,A0430114,2021-08-16 12:17:47,A0430114,2021-08-16 12:18:23,A0430114,2021-08-16 12:20:49,A0430114,None,None,None,None,10,36,146,192
EA024,SCP,c,1,2021-08-16 12:20:22,A0430114,2021-08-16 12:20:49,A0430114,2021-08-16 12:21:15,A0430114,2021-08-16 12:36:40,A0430114,None,None,None,None,27,26,925,978
EA028,SCP,c,1,2021-08-16 12:29:51,931881,2021-08-16 12:30:20,931881,2021-08-16 12:30:49,931881,2021-08-16 12:32:05,931881,None,None,None,None,29,29,76,134
EA029,SCP,c,1,2021-08-16 12:30:18,931881,2021-08-16 12:32:05,931881,2021-08-16 12:32:19,931881,2021-08-16 12:54:42,931881,None,None,None,None,107,14,1343,1464
EA030,SCP,c,1,2021-08-16 12:43:13,A0430114,2021-08-16 12:43:21,A0430114,2021-08-16 12:43:42,A0430114,2021-08-16 12:56:47,A0430114,None,None,None,None,8,21,785,814
EA033,SCP,c,1,2021-08-16 12:51:13,931881,2021-08-16 12:54:43,931881,2021-08-16 12:55:31,931881,2021-08-16 13:07:18,931881,None,None,None,None,210,48,707,965
EA034,SCP,c,1,2021-08-16 12:51:19,A0430114,2021-08-16 12:56:47,A0430114,2021-08-16 12:57:05,A0430114,2021-08-16 13:00:00,A0430114,None,None,None,None,328,18,175,521
EA036,SCP,c,1,2021-08-16 12:55:11,A0430114,2021-08-16 13:00:01,A0430114,2021-08-16 13:00:21,A0430114,2021-08-16 13:04:38,A0430114,None,None,None,None,290,20,257,567
EA039,SCP,c,1,2021-08-16 12:58:08,A0430114,2021-08-16 13:04:38,A0430114,2021-08-16 13:04:56,A0430114,2021-08-16 13:13:39,A0430114,None,None,None,None,390,18,523,931
EA041,SCP,c,1,2021-08-16 13:02:24,931881,2021-08-16 13:07:18,931881,2021-08-16 13:07:56,931881,2021-08-16 13:20:45,931881,None,None,None,None,294,38,769,1101
AA030,SCP,c,1,2021-08-16 13:11:57,931881,2021-08-16 13:20:45,931881,2021-08-16 13:21:03,931881,2021-08-16 13:38:34,931881,None,None,None,None,528,18,1051,1597
EA044,SCP,c,1,2021-08-16 13:12:03,A0430114,2021-08-16 13:13:39,A0430114,2021-08-16 13:14:10,A0430114,2021-08-16 13:17:54,A0430114,None,None,None,None,96,31,224,351
EA045,SCP,c,1,2021-08-16 13:23:19,A0430114,2021-08-16 13:23:25,A0430114,2021-08-16 13:24:13,A0430114,2021-08-16 13:29:09,A0430114,None,None,None,None,6,48,296,350
EA046,SCP,c,1,2021-08-16 13:24:47,A0430114,2021-08-16 13:29:30,A0430114,2021-08-16 13:29:49,A0430114,2021-08-16 13:41:05,A0430114,None,None,None,None,283,19,676,978
AA036,SCP,c,1,2021-08-16 13:26:31,931881,2021-08-16 13:38:34,931881,2021-08-16 13:38:46,931881,2021-08-16 13:48:54,931881,None,None,None,None,723,12,608,1343
EA049,SCP,c,1,2021-08-16 13:27:31,A0430114,2021-08-16 13:41:06,A0430114,2021-08-16 13:41:32,A0430114,2021-08-16 13:49:05,A0430114,None,None,None,None,815,26,453,1294
AA038,SCP,c,1,2021-08-16 13:45:02,931881,2021-08-16 13:48:54,931881,2021-08-16 13:49:19,931881,2021-08-16 13:52:34,931881,None,None,None,None,232,25,195,452
AA040,SCP,c,1,2021-08-16 13:51:38,931881,2021-08-16 13:52:34,931881,2021-08-16 13:53:32,931881,2021-08-16 14:24:38,931881,None,None,None,None,56,58,1866,1980
